element_name,age,cond_rating,random,material,area_sqm
A205,1,31.7,2,plastic,79.3
A206,8,15.5,1,metal,22.2
A207,13,73.1,5,titanium,25.7
A208,10,62.7,5,titanium,14.1
A209,5,14.5,3,concrete,59.5
A210,7,46.2,4,cast-iron,34.9
A211,1,76,2,plastic,19.3
A212,16,96.6,4,cast-iron,11.5
A213,12,53,4,cast-iron,52.1
A214,6,77.1,3,concrete,57.8
A215,15,68.4,1,metal,49.9
A216,11,73.5,3,concrete,53.4
A217,17,41.1,2,plastic,82.8
A218,4,55.5,3,concrete,90
A219,19,17,4,cast-iron,74.3
A220,15,87.7,4,cast-iron,90.1
A221,18,21.1,5,titanium,30.1
A222,19,88.4,1,metal,21
A223,7,42,4,cast-iron,72.4
A224,5,43.3,5,titanium,74.8
A225,5,31.5,5,titanium,33.1
A226,19,26.7,3,concrete,79.6
A227,2,80.9,3,concrete,87.4
A228,17,72.9,2,plastic,12.4
A229,1,96.9,3,concrete,82.8
A230,0,89.1,3,concrete,22
A231,3,33.7,4,cast-iron,55.7
A232,20,18,5,titanium,21.3
A233,17,18.4,2,plastic,64.7
A234,6,51.6,5,titanium,92.6
A235,16,24.6,4,cast-iron,77.5
A236,19,39.8,5,titanium,33.2
A237,10,13.5,4,cast-iron,22.4
A238,8,63.5,5,titanium,58.4
A239,15,14.8,1,metal,52.4
A240,5,82.2,2,plastic,67.5
A241,14,65.8,2,plastic,35.8
A242,2,83.4,2,plastic,35.5
A243,11,58.7,3,concrete,50.1
A244,20,95.1,1,metal,42.1
A245,17,46.7,4,cast-iron,16.4
A246,7,70.4,5,titanium,11.9
A247,18,67.6,1,metal,43.4
A248,17,13.4,1,metal,19.3
A249,3,54.5,2,plastic,16.8
A250,5,41.9,2,plastic,82.7
A251,15,99.5,3,concrete,78.2
A252,13,66.1,4,cast-iron,88.9
A253,3,82.9,3,concrete,56.8
A254,6,20,3,concrete,79.9
A255,2,41.1,5,titanium,25.7
A256,12,97.1,5,titanium,68.4
A257,9,82,2,plastic,63.8
A258,11,81.6,1,metal,48.5
A259,9,35.5,3,concrete,29.1
A260,11,20.1,5,titanium,43.6
A261,16,68.1,5,titanium,42.5
A262,7,23,2,plastic,47.5
A263,11,57.5,5,titanium,52.9
A264,5,88.3,1,metal,17.4
A265,0,14,3,concrete,32.9
A266,1,18,3,concrete,47.2
A267,2,23.5,2,plastic,89.6
A268,18,92.6,2,plastic,14.1
A269,20,19.3,3,concrete,62
A270,9,56.1,4,cast-iron,74.1
A271,2,68,3,concrete,79.5
A272,20,61.7,2,plastic,64.9
A273,8,58.4,3,concrete,26.7
A274,17,68.7,5,titanium,87.2
A275,2,25,1,metal,32.9
A276,20,68.9,4,cast-iron,82.2
A277,15,65.8,2,plastic,73.1
A278,7,20.3,1,metal,25.7
A279,19,11.5,3,concrete,35.6
A280,18,34.4,5,titanium,46.8
A281,17,40.3,4,cast-iron,18.4
A282,14,96.6,4,cast-iron,16
A283,12,12.9,1,metal,78.6
A284,8,86.3,3,concrete,47.9
A285,13,35.5,1,metal,13.5
A286,10,30.6,5,titanium,31
A287,15,73.8,4,cast-iron,48.6
A288,19,78,5,titanium,89.9
A289,12,25.4,2,plastic,41.4
A290,6,39.4,5,titanium,35.9
A291,16,54.4,3,concrete,32.1
A292,12,19.7,5,titanium,62.6
A293,12,78.2,4,cast-iron,64
A294,12,15.4,3,concrete,50.2
A295,12,84.8,5,titanium,67.2
A296,8,36.4,1,metal,46.8
A297,17,57,2,plastic,17.1
A298,11,96.7,5,titanium,57.5
A299,8,72.1,5,titanium,21.7
A300,11,55.8,3,concrete,13.1
A301,9,51.4,2,plastic,68.8
A302,10,34.2,1,metal,33
A303,3,13.1,4,cast-iron,25.5
A304,13,35.8,4,cast-iron,18.7
A305,20,53.2,1,metal,27.6
A306,5,63.1,3,concrete,23.7
A307,9,51.7,4,cast-iron,22
A308,20,59,2,plastic,35.5
A309,8,70.1,5,titanium,9.7
A310,19,70.1,1,metal,40.1
A311,11,40.2,1,metal,51.9
A312,7,33.1,2,plastic,66.4
A313,10,38.6,1,metal,87.5
A314,9,66.9,4,cast-iron,9.5
A315,13,15.6,3,concrete,33.1
A316,18,11.1,1,metal,41.3
A317,2,38.4,4,cast-iron,53.7
A318,11,65.6,3,concrete,19.3
A319,19,47,2,plastic,51.8
A320,16,32.3,3,concrete,82.2
A321,6,90.5,1,metal,41.2
A322,12,88.7,2,plastic,11.7
A323,4,57.1,5,titanium,26.9
A324,1,19.7,5,titanium,14.3
A325,6,83.6,2,plastic,41.4
A326,13,89.4,5,titanium,44
A327,17,67.3,5,titanium,64.7
A328,0,26,1,metal,47
A329,8,21.5,5,titanium,69.7
A330,10,28.3,3,concrete,78.7
A331,6,19.4,3,concrete,49.4
A332,16,86.2,4,cast-iron,90.5
A333,1,50.1,4,cast-iron,34.3
A334,16,24.4,3,concrete,65.8
A335,16,43.6,5,titanium,23.9
A336,18,90.9,3,concrete,41.3
A337,9,67.8,2,plastic,24
A338,17,27.1,5,titanium,41.3
A339,20,43,3,concrete,86.3
A340,2,37,5,titanium,22
A341,20,53.7,3,concrete,14.6
A342,13,90.4,2,plastic,65.7
A343,3,46.9,2,plastic,31.4
A344,20,74.1,2,plastic,80.4
A345,12,14.6,2,plastic,39.5
A346,16,62.1,4,cast-iron,43
A347,4,74.9,1,metal,74.8
A348,0,28.9,3,concrete,22.8
A349,18,44.2,5,titanium,53.6
A350,1,67.7,3,concrete,49.9
A351,13,93.1,5,titanium,42.9
A352,13,65.4,3,concrete,53.7
A353,4,68.6,3,concrete,81.1
A354,9,18.7,2,plastic,25.2
A355,8,49.9,1,metal,58.4
A356,8,16.9,5,titanium,52.6
A357,13,70.7,2,plastic,30.2
A358,13,16,2,plastic,65
A359,8,89.8,2,plastic,18.9
A360,19,83,3,concrete,64.5
A361,7,82,3,concrete,31.4
A362,7,60.1,1,metal,49.7
A363,16,39.2,3,concrete,25.8
A364,12,20.9,4,cast-iron,58.6
A365,19,65.1,2,plastic,89.1
A366,16,41.6,2,plastic,78.5
A367,0,17.1,3,concrete,81
A368,4,85.8,4,cast-iron,80.6
A369,16,50.9,2,plastic,43.5
A370,20,40.1,1,metal,92.8
A371,14,45.7,3,concrete,71.3
A372,17,53.5,4,cast-iron,69.1
A373,9,91,4,cast-iron,89.8
A374,7,53,1,metal,16.2
A375,15,63.9,2,plastic,78.5
A376,15,74.9,5,titanium,89.9
A377,4,27.3,2,plastic,22.7
A378,16,13.5,4,cast-iron,48.4
A379,0,76.5,1,metal,75.2
A380,7,16.4,4,cast-iron,84.2
A381,5,44.8,4,cast-iron,39.6
A382,7,97.4,3,concrete,29.7
A383,6,77.9,4,cast-iron,93.6
A384,11,49.6,1,metal,25.7
A385,11,44.5,1,metal,79.3
A386,15,74.1,5,titanium,25.3
A387,0,59.2,2,plastic,40.5
A388,3,21.9,5,titanium,46.3
A389,17,30,1,metal,48.2
A390,11,13.6,3,concrete,82
A391,11,59.9,1,metal,53.9
A392,10,21,2,plastic,13.6
A393,6,59.5,2,plastic,36.5
A394,6,51.5,3,concrete,10.7
A395,15,36.4,3,concrete,93.5
A396,14,58.6,5,titanium,76.9
A397,1,97,1,metal,44.8
A398,14,53.8,1,metal,28.4
A399,12,25.2,2,plastic,43.2
A400,14,92.1,4,cast-iron,37.7
A401,20,30.7,3,concrete,33.3
A402,0,63.8,3,concrete,21.6
A403,17,77.1,1,metal,16.9
A404,8,18.7,2,plastic,58.5
A405,16,72.8,5,titanium,27.8
A406,11,68.2,5,titanium,87
A407,6,72.2,5,titanium,12.1
A408,10,43.8,2,plastic,49.2
A409,14,93.6,4,cast-iron,39.9
A410,1,69.7,5,titanium,28.1
A411,13,80.6,2,plastic,75.7
A412,18,67.3,4,cast-iron,89.5
A413,20,37.3,3,concrete,13
A414,19,57.2,4,cast-iron,56
A415,3,82.6,2,plastic,87.4
A416,3,34.9,3,concrete,44.2
A417,2,33.3,2,plastic,52.6
A418,1,37.4,4,cast-iron,90.9
A419,3,60.3,4,cast-iron,66.8
A420,11,44.7,4,cast-iron,55.5
A421,11,30.4,4,cast-iron,55.8
A422,2,53.4,4,cast-iron,13.3
A423,0,51.6,1,metal,76.8
A424,13,30.5,4,cast-iron,28.1
A425,6,91.1,4,cast-iron,57.7
A426,20,27.3,4,cast-iron,60.6
A427,11,92.3,5,titanium,73
A428,7,27.6,2,plastic,26.9
A429,17,87.2,4,cast-iron,41
A430,12,47.9,3,concrete,30.4
A431,5,63.4,3,concrete,78.8
A432,14,68.6,2,plastic,72.8
A433,1,27.4,4,cast-iron,39
A434,15,43.2,2,plastic,66
A435,9,55.6,4,cast-iron,74.3
A436,10,57.5,5,titanium,72.8
A437,12,75.7,3,concrete,54.8
A438,8,85,3,concrete,60.1
A439,4,74.7,1,metal,33
A440,17,82.1,5,titanium,79.4
A441,13,80.7,1,metal,72.7
A442,14,90.5,1,metal,69.3
A443,6,63.5,4,cast-iron,87.7
A444,10,33,2,plastic,13
A445,12,85.5,2,plastic,43.7
A446,18,38.2,1,metal,87.1
A447,20,37.5,1,metal,80.1
A448,19,30,3,concrete,37.3
A449,14,82.1,3,concrete,16.7
A450,3,76.5,2,plastic,50.1
A451,14,15.2,1,metal,31.5
A452,2,92.3,4,cast-iron,63
A453,17,74.9,1,metal,48.6
A454,12,93,4,cast-iron,68.4
A455,2,41.2,5,titanium,51.5
A456,11,40,2,plastic,57.6
A457,18,89.3,1,metal,19
A458,15,86.6,5,titanium,36.9
A459,0,14.8,1,metal,39.8
A460,15,88.9,5,titanium,43.4
A461,2,36.3,5,titanium,86.4
A462,1,42.8,3,concrete,73.7
A463,15,77.6,1,metal,84.4
A464,18,46.7,5,titanium,26.1
A465,17,47.1,5,titanium,32.4
A466,16,70.1,1,metal,85.2
A467,13,94.5,1,metal,48.3
A468,8,31.5,4,cast-iron,38.9
A469,13,92,2,plastic,22.5
A470,5,56.4,5,titanium,89
A471,10,18.8,1,metal,40.6
A472,20,47.9,5,titanium,62.7
A473,18,90.1,3,concrete,76.6
A474,18,31.9,4,cast-iron,21.4
A475,0,77.2,3,concrete,78.2
A476,6,33.2,5,titanium,87.5
A477,0,50.5,2,plastic,43.5
A478,13,37.4,4,cast-iron,19
A479,8,38,3,concrete,84.6
A480,9,91.8,2,plastic,20.5
A481,18,99.9,5,titanium,60.9
A482,15,41.5,4,cast-iron,73.6
A483,2,16.3,4,cast-iron,18.6
A484,1,74,3,concrete,69.1
A485,17,45.8,4,cast-iron,56
A486,16,16.7,3,concrete,86.8
A487,19,34,2,plastic,42.6
A488,3,58.4,5,titanium,30.9
A489,0,76.4,3,concrete,46.8
A490,9,85.5,4,cast-iron,72.5
A491,2,97.3,2,plastic,19
A492,2,33.2,2,plastic,66.1
A493,16,13.4,5,titanium,37.3
A494,8,52.3,1,metal,47.7
A495,7,16.9,5,titanium,48.9
A496,18,93.3,1,metal,59.2
A497,5,49.2,3,concrete,45
A498,3,67.5,3,concrete,74
A499,16,52.8,2,plastic,69.6
A500,15,83,2,plastic,32.9
A501,14,11.2,2,plastic,21.1
A502,10,31.6,4,cast-iron,47.1
A503,4,22.5,4,cast-iron,20.6
A504,11,76.1,1,metal,48.7
A505,19,96.2,4,cast-iron,92.9
A506,0,26.2,2,plastic,55.9
A507,9,10.4,1,metal,45.9
A508,14,15.3,1,metal,52.4
A509,18,26.3,5,titanium,57.1
A510,20,63.7,2,plastic,40.9
A511,5,96.7,5,titanium,31.9
A512,13,59.7,3,concrete,25.5
A513,8,71.9,3,concrete,90.3
A514,12,34.4,1,metal,64.9
A515,14,26.6,1,metal,52.5
A516,1,34,3,concrete,57.2
A517,15,86.7,4,cast-iron,34.3
A518,0,62.4,4,cast-iron,47.9
A519,0,70.2,2,plastic,10.6
A520,3,12.3,3,concrete,17.2
A521,6,36.4,4,cast-iron,36.9
A522,0,67.9,2,plastic,92.6
A523,17,74.8,5,titanium,58.5
A524,19,53.6,3,concrete,22.8
A525,14,16.6,4,cast-iron,55
A526,9,18.2,2,plastic,37.5
A527,0,65.2,3,concrete,13
A528,0,93.7,1,metal,47.7
A529,10,48.4,4,cast-iron,22.1
A530,13,37.9,3,concrete,37.3
A531,20,31.3,3,concrete,26.8
A532,17,24.8,3,concrete,60.8
A533,6,92.4,2,plastic,17.8
A534,7,76.5,5,titanium,70.6
A535,5,48.2,1,metal,74.5
A536,17,99.8,5,titanium,14.2
A537,15,70.4,4,cast-iron,45.3
A538,8,73.5,3,concrete,62.8
A539,15,50.7,2,plastic,56.1
A540,20,51.6,3,concrete,42.6
A541,16,71.9,4,cast-iron,42.3
A542,19,84.3,3,concrete,88.8
A543,15,61.2,1,metal,62.5
A544,4,24.5,3,concrete,67.7
A545,1,62,3,concrete,10.4
A546,20,58.1,1,metal,17.1
A547,18,50.6,2,plastic,53.9
A548,10,86.9,1,metal,54.5
A549,4,41.7,3,concrete,70.3
A550,20,42.5,1,metal,76.3
A551,14,35,5,titanium,41.8
A552,18,11.1,5,titanium,21.9
A553,19,52.7,2,plastic,32.1
A554,19,37.8,2,plastic,10.5
A555,16,64.9,2,plastic,17.8
A556,0,72.9,3,concrete,20.5
A557,12,86.5,3,concrete,60.1
A558,6,81.6,4,cast-iron,76.2
A559,3,59.6,3,concrete,86.6
A560,2,17.9,2,plastic,58.5
A561,10,71.2,2,plastic,64.5
A562,12,65.5,3,concrete,33.2
A563,0,73.7,2,plastic,74.9
A564,2,31.8,4,cast-iron,65.5
A565,16,82.6,5,titanium,53.8
A566,7,37.1,1,metal,44.4
A567,0,66.2,4,cast-iron,93
A568,2,13.1,5,titanium,27.5
A569,10,94.1,4,cast-iron,22.7
A570,4,31.2,3,concrete,67.2
A571,0,62,2,plastic,73.7
A572,6,44.1,5,titanium,43
A573,0,66.6,1,metal,42.2
A574,1,35.7,5,titanium,90.1
A575,3,26.7,3,concrete,14.1
A576,12,19.5,2,plastic,85.6
A577,0,99.9,3,concrete,57.1
A578,16,13.9,5,titanium,73.9
A579,1,70.4,2,plastic,36
A580,5,49.1,2,plastic,70.9
A581,5,92.3,1,metal,87.3
A582,3,57.2,4,cast-iron,41.5
A583,13,35.4,1,metal,90.2
A584,5,45,1,metal,59.1
A585,16,22.3,2,plastic,31.1
A586,6,86,4,cast-iron,63.4
A587,5,20.7,4,cast-iron,22
A588,1,52.2,4,cast-iron,59.9
A589,4,31.9,5,titanium,48.5
A590,2,83.6,1,metal,59.7
A591,18,83.5,1,metal,29.1
A592,9,56.4,2,plastic,74.4
A593,18,36.7,4,cast-iron,31.2
A594,15,13.6,2,plastic,17.6
A595,13,87.1,4,cast-iron,12.1
A596,12,91.2,5,titanium,36.8
A597,0,46.2,1,metal,31.7
A598,8,91.5,5,titanium,41.5
A599,4,30.9,2,plastic,61.4
A600,7,91.8,3,concrete,44.4
A601,2,40.4,2,plastic,93.2
A602,1,31.7,2,plastic,58.8
A603,19,58.6,5,titanium,50.1
A604,7,44.2,2,plastic,62.3
A605,19,79.7,4,cast-iron,58.3
A606,18,62.9,3,concrete,71.2
A607,15,50.4,1,metal,85.5
A608,9,22.4,4,cast-iron,41
A609,20,77,5,titanium,68.6
A610,19,32.6,4,cast-iron,91.8
A611,4,63.3,5,titanium,62.9
A612,15,20.8,4,cast-iron,39.6
A613,0,90.3,2,plastic,84.5
A614,1,69.2,5,titanium,19.8
A615,2,34.4,2,plastic,70.7
A616,12,41.4,4,cast-iron,30.5
A617,20,89.8,1,metal,73.9
A618,16,70,4,cast-iron,89.1
A619,20,12.9,3,concrete,28.5
A620,18,97,3,concrete,13.6
A621,13,55.6,3,concrete,25.6
A622,19,48.4,2,plastic,89
A623,4,79,5,titanium,46.7
A624,14,44.5,5,titanium,30.9
A625,19,31.8,5,titanium,89.6
A626,6,86,1,metal,45.1
A627,19,89.1,3,concrete,24.9
A628,6,47.1,5,titanium,18.1
A629,6,36.9,4,cast-iron,43.2
A630,8,39.9,4,cast-iron,18.7
A631,6,73,2,plastic,79.9
A632,7,47.1,4,cast-iron,46.4
A633,9,54.4,5,titanium,39.1
A634,9,62.9,4,cast-iron,88.3
A635,9,94.9,5,titanium,43.1
A636,8,93.1,4,cast-iron,14
A637,0,92.4,3,concrete,31.2
A638,1,87.3,5,titanium,56.5
A639,0,74.7,5,titanium,16.5
A640,19,72.4,1,metal,42
A641,6,14.2,1,metal,19.3
A642,1,86.3,2,plastic,43.6
A643,2,12.6,2,plastic,71.9
A644,1,49.8,1,metal,80.3
A645,17,22,4,cast-iron,84.2
A646,2,32.5,5,titanium,46.8
A647,8,23.5,4,cast-iron,69.4
A648,2,11.8,5,titanium,40
A649,20,80.4,3,concrete,24.4
A650,1,95.5,5,titanium,72.3
A651,10,22.2,5,titanium,17.9
A652,9,84,4,cast-iron,66.1
A653,18,38.8,1,metal,35.4
A654,7,97.4,2,plastic,11.9
A655,16,20.2,5,titanium,45.3
A656,4,37.7,2,plastic,24.3
A657,6,58.1,4,cast-iron,61.3
A658,8,36.1,3,concrete,28.7
A659,17,99.2,5,titanium,72.4
A660,19,29.5,2,plastic,76.2
A661,20,14,4,cast-iron,33.5
A662,11,35,4,cast-iron,73.2
A663,0,71.5,2,plastic,20.6
A664,18,17.5,1,metal,47.7
A665,14,55.3,4,cast-iron,89.4
A666,10,28.6,3,concrete,39.5
A667,15,69.9,2,plastic,33.8
A668,2,56.4,3,concrete,16.1
A669,15,36.5,1,metal,61.3
A670,16,87.6,3,concrete,15.2
A671,6,43.9,4,cast-iron,58.7
A672,19,23.2,2,plastic,55.3
A673,14,98.2,4,cast-iron,12.9
A674,18,98.7,4,cast-iron,28.4
A675,13,50,3,concrete,63.7
A676,8,45.2,4,cast-iron,15.8
A677,10,54.3,2,plastic,79.7
A678,19,57.3,4,cast-iron,69.7
A679,1,69.5,4,cast-iron,42.5
A680,4,21.5,4,cast-iron,38.8
A681,5,52.4,4,cast-iron,83.4
A682,5,98.6,5,titanium,32.3
A683,19,24.6,3,concrete,57.9
A684,13,13.2,4,cast-iron,19.6
A685,12,96.3,5,titanium,48.1
A686,16,25.9,3,concrete,33.6
A687,14,85.5,5,titanium,69.2
A688,12,71.5,1,metal,26.3
A689,0,77.1,2,plastic,69.8
A690,9,81.9,1,metal,59.9
A691,20,90.3,1,metal,36.4
A692,14,81.6,3,concrete,78.8
A693,15,53,4,cast-iron,68.1
A694,14,31,4,cast-iron,50
A695,8,55.4,4,cast-iron,42
A696,1,43.2,3,concrete,80.9
A697,19,69.8,4,cast-iron,75.9
A698,2,23,1,metal,63.7
A699,17,42.6,5,titanium,39.9
A700,6,11,4,cast-iron,14.6
A701,6,64.4,4,cast-iron,23.2
A702,9,25.8,3,concrete,87.3
A703,9,73.4,4,cast-iron,64.9
A704,8,89.8,5,titanium,26.5
A705,4,57.8,2,plastic,57.4
A706,13,32.8,1,metal,61.9
A707,9,56.4,4,cast-iron,56
A708,14,14.1,5,titanium,82.6
A709,2,46.8,1,metal,69.5
A710,19,19.8,2,plastic,41.7
A711,18,85.8,2,plastic,53.9
A712,5,66,4,cast-iron,48.5
A713,6,61.4,1,metal,53.3
A714,12,56.6,2,plastic,73.2
A715,16,91.8,5,titanium,44.2
A716,3,36.4,4,cast-iron,82
A717,16,13.7,3,concrete,73.9
A718,11,12.4,3,concrete,45.1
A719,4,67.6,1,metal,90.1
A720,4,79.2,4,cast-iron,93
A721,10,57.4,3,concrete,59.2
A722,18,75.7,3,concrete,64.9
A723,18,45.7,5,titanium,30.6
A724,20,23,4,cast-iron,32.3
A725,4,54.3,4,cast-iron,45.5
A726,7,84.7,2,plastic,93.5
A727,7,59.7,1,metal,67.6
A728,10,32.4,4,cast-iron,83.7
A729,7,33,5,titanium,75.7
A730,1,16.4,2,plastic,57.9
A731,14,94.6,3,concrete,11.6
A732,19,62,3,concrete,22.1
A733,6,22.8,1,metal,61.2
A734,13,76.2,4,cast-iron,76.9
A735,11,16.8,4,cast-iron,29.5
A736,11,41.1,4,cast-iron,66.4
A737,14,63,4,cast-iron,42.5
A738,16,93.2,3,concrete,47.2
A739,3,59.8,2,plastic,35.3
A740,5,36.9,2,plastic,17.7
